SiO2,B2O3,Na2O,Al2O3,CaO,ZrO2,Li2O,K2O,MgO,MnO,Fe2O3,P2O5,TiO2,ZnO,MoO3,Cs2O,NiO,SrO,Cr2O3,Y2O3,MnO2,Ag2O,CdO,SnO2,TeO2,BaO,La2O3,Ce2O3,Pr2O3,Nd2O3,N,V2O5,U3O8,PuO2,Cl,F,SO3,RuO2,Sm2O3,CeO2,Pr6O11,Rb2O,UO2,CoO,GdO,SnO,Sb2O3,Gd2O3,ZnO2,CuO,PdO,Md2O3,SO4,FeO,others,pH,Temp (Celsius),rate (gm/m2/day)
55.43310136,0,1.15227138,1.146161382,19.45037287,0,0,13.23347902,6.443402518,0.915230183,0.487882348,1.738098939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,50,0.800773776
55.43310136,0,1.15227138,1.146161382,19.45037287,0,0,13.23347902,6.443402518,0.915230183,0.487882348,1.738098939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,50,0.769228142
55.43310136,0,1.15227138,1.146161382,19.45037287,0,0,13.23347902,6.443402518,0.915230183,0.487882348,1.738098939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,50,0.550835294
55.43310136,0,1.15227138,1.146161382,19.45037287,0,0,13.23347902,6.443402518,0.915230183,0.487882348,1.738098939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,70,3.567083184
55.43310136,0,1.15227138,1.146161382,19.45037287,0,0,13.23347902,6.443402518,0.915230183,0.487882348,1.738098939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,70,1.839353098
55.43310136,0,1.15227138,1.146161382,19.45037287,0,0,13.23347902,6.443402518,0.915230183,0.487882348,1.738098939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,70,1.470511843
52.72,14.03,11.39,3.39,5.02,1.54,4.6,0,0,0,1.31,0.14,0,2.15,0.85,0.28,0.4,0.23,0.24,0.06,0.31,0.01,0.02,0.01,0.1,0.28,0.2,0.2,0.1,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,30,0.001999508
52.72,14.03,11.39,3.39,5.02,1.54,4.6,0,0,0,1.31,0.14,0,2.15,0.85,0.28,0.4,0.23,0.24,0.06,0.31,0.01,0.02,0.01,0.1,0.28,0.2,0.2,0.1,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,50,0.017010376
52.72,14.03,11.39,3.39,5.02,1.54,4.6,0,0,0,1.31,0.14,0,2.15,0.85,0.28,0.4,0.23,0.24,0.06,0.31,0.01,0.02,0.01,0.1,0.28,0.2,0.2,0.1,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,70,0.083959917
52.72,14.03,11.39,3.39,5.02,1.54,4.6,0,0,0,1.31,0.14,0,2.15,0.85,0.28,0.4,0.23,0.24,0.06,0.31,0.01,0.02,0.01,0.1,0.28,0.2,0.2,0.1,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.45,90,0.330015859
